Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1569.8232399999997
FDW14,OUT017,1239.3201199999999
NCN55,OUT010,856.4851199999999
FDQ58,OUT017,2193.5446800000004
FDY38,OUT027,6720.718359999999
FDH56,OUT046,1641.66306
FDL48,OUT018,688.23746
FDC48,OUT027,1470.9519399999997
FDN33,OUT045,1236.1908600000002
FDA36,OUT017,2494.7526
FDT44,OUT017,1838.6067000000003
FDQ56,OUT045,1897.13052
NCC54,OUT019,708.27804
FDU11,OUT049,1607.3077800000003
DRL59,OUT013,990.3109200000001
FDM24,OUT049,2718.5945599999995
FDI57,OUT045,2975.7931
DRC12,OUT018,3283.52586
NCM42,OUT027,3040.44228
FDA46,OUT010,313.45864
FDA31,OUT013,3172.80332
NCJ31,OUT035,4374.3060000000005
FDG52,OUT046,601.2174
NCL19,OUT019,393.4878
FDS10,OUT035,3019.00352
FDX22,OUT010,725.7885799999998
NCF19,OUT035,745.42968
NCE06,OUT046,2245.6768199999997
DRC27,OUT046,3811.9713199999997
FDE21,OUT035,1591.7946399999998
NCR42,OUT019,51.86582000000001
FDX51,OUT018,1995.6689199999996
NCR06,OUT018,266.78605999999996
FDU31,OUT027,5971.293879999999
FDU59,OUT017,1437.1293
FDR03,OUT027,6387.21914
FDS49,OUT027,2014.91054
FDD48,OUT010,226.90464000000003
NCF18,OUT017,3539.92544
NCD43,OUT027,2325.4396599999995
NCD54,OUT018,1731.8123799999998
FDY19,OUT010,185.82478
NCY54,OUT017,1912.7102399999997
NCL19,OUT018,2064.1797399999996
FDP23,OUT010,366.58948
FDC26,OUT013,1950.4611000000004
FDR14,OUT010,168.38082
NCS41,OUT035,3224.1364999999996
FDF41,OUT035,4446.8782
FDU34,OUT046,2131.6252799999993
DRH11,OUT046,851.9576799999999
FDM03,OUT013,1714.56816
FDS31,OUT017,4224.10152
FDJ20,OUT017,1449.5131799999995
FDV44,OUT027,5694.121340000001
FDG02,OUT049,3302.9006400000007
FDA09,OUT013,3587.26382
FDT04,OUT013,633.3089600000001
FDL58,OUT019,699.48948
FDE52,OUT045,1762.77208
FDW12,OUT035,2739.90016
FDL51,OUT017,2684.30586
NCY42,OUT027,3383.9285000000004
FDR07,OUT017,1679.5470799999998
FDN40,OUT045,2270.6443200000003
FDB35,OUT027,2860.2767999999996
FDA22,OUT017,1812.7070799999997
NCL06,OUT046,6600.608040000001
FDI35,OUT013,3399.5748
NCW42,OUT045,3970.0322399999995
NCX06,OUT049,2954.08802
FDC37,OUT027,1933.8161000000005
FDZ14,OUT018,1950.26136
DRG49,OUT049,5683.46854
NCG06,OUT045,4671.918599999999
DRC36,OUT045,3354.69988
FDV21,OUT019,616.06474
FDB53,OUT046,3807.64362
DRP47,OUT019,622.7893200000001
FDA14,OUT013,2392.8186200000005
DRC24,OUT035,2296.87684
FDW21,OUT018,1626.34966
NCH29,OUT046,2279.0334000000003
FDU58,OUT013,3615.6934799999995
FDY27,OUT017,1971.4338000000002
FDV56,OUT035,1803.9185200000004
FDT59,OUT046,3977.75552
FDB23,OUT046,3174.93388
FDR49,OUT045,992.7077999999999
FDB03,OUT010,565.86342
FDN39,OUT045,2881.84872
FDX02,OUT027,6636.16176
FDQ16,OUT027,2278.63392
FDU35,OUT018,2091.8770199999994
NCT29,OUT013,1960.3815199999997
FDZ27,OUT046,794.0330799999999
FDN57,OUT017,2426.5746800000006
FDA03,OUT018,2481.83608
FDZ36,OUT045,2712.60236
NCU05,OUT013,1108.82332
FDT39,OUT018,1309.02938
FDK60,OUT017,1892.3367600000001
FDZ25,OUT017,3460.9615599999997
FDG12,OUT046,2192.4793999999997
DRB01,OUT019,456.53905999999995
NCC43,OUT027,8161.775879999999
FDX13,OUT019,634.44082
FDM22,OUT049,1021.3372000000002
FDJ03,OUT027,1234.9258399999999
FDU14,OUT018,4427.96948
FDB33,OUT010,300.20921999999996
FDP27,OUT046,4509.92946
FDO38,OUT010,155.93036
FDE28,OUT027,6506.796819999999
FDO27,OUT035,1898.1958
DRL23,OUT027,2582.2387200000003
FDS28,OUT046,1219.1463799999997
FDX24,OUT013,1334.9955800000002
FDZ02,OUT035,1361.8273199999999
FDL46,OUT045,1417.0221400000003
FDS60,OUT027,4725.182599999999
NCO06,OUT017,478.04440000000005
FDO16,OUT035,1837.2085200000001
FDC60,OUT049,1872.09644
FDA48,OUT018,3407.2980799999996
FDZ36,OUT027,4249.26876
FDK27,OUT045,1764.5031599999995
FDW23,OUT018,431.1720800000001
FDM14,OUT018,821.79694
FDM14,OUT013,1256.7640800000001
FDW60,OUT018,2052.1287600000005
FDE21,OUT013,1477.47678
NCM42,OUT035,1310.02808
FDY59,OUT010,166.71632
DRI49,OUT049,1511.23284
FDT28,OUT019,401.1445
FDQ22,OUT018,327.10754
FDR60,OUT049,1007.4885600000001
FDC50,OUT019,323.51222
FDV24,OUT013,2293.681
DRF48,OUT010,620.5921800000001
FDQ47,OUT046,658.74252
DRN36,OUT049,1677.41652
NCY06,OUT035,2902.5551
FDE52,OUT035,1754.51616
NCB54,OUT045,1639.1996
NCF31,OUT035,2941.7707199999995
FDJ08,OUT027,5822.354420000001
NCC07,OUT017,1027.52914
NCD19,OUT027,1908.6488600000005
FDL46,OUT049,2308.3286
FDM20,OUT045,4181.823219999999
NCI06,OUT010,323.1793200000001
DRM11,OUT035,5224.59918
NCH07,OUT018,2442.2875599999998
FDS23,OUT013,2335.69298
FDO49,OUT018,479.50915999999995
FDS35,OUT049,621.4577200000001
DRK39,OUT045,1445.38522
DRI39,OUT049,808.5475200000001
FDV04,OUT017,1815.1705399999998
NCN14,OUT035,3620.0211799999997
FDH08,OUT013,3681.67426
FDS20,OUT046,3301.3693
FDV40,OUT049,1007.22224
FDZ48,OUT010,203.40189999999998
FDS24,OUT027,2776.9186400000003
FDK44,OUT049,2676.7157400000006
FDS48,OUT045,3805.97912
FDK26,OUT010,445.88626000000005
FDD23,OUT045,2660.9362799999994
NCH54,OUT017,2122.43724
NCP14,OUT010,162.1223
FDM60,OUT010,53.596900000000005
FDV24,OUT017,2483.4339999999997
FDH08,OUT018,4089.5433399999993
FDS12,OUT027,3124.86572
FDR39,OUT027,4900.22142
FDP12,OUT027,1017.60872
DRF60,OUT027,5843.92634
FDC09,OUT035,2004.5240600000002
FDF50,OUT018,3130.0589600000003
FDG28,OUT035,4097.86584
NCE19,OUT017,816.1376399999998
NCM53,OUT010,163.72021999999998
NCN18,OUT049,1505.44038
FDF32,OUT035,3375.4062600000007
FDF11,OUT013,4085.81486
DRI59,OUT049,4319.11118
NCG54,OUT035,2466.0566200000003
FDM44,OUT046,1487.66352
FDT57,OUT018,3386.19222
FDV24,OUT046,2459.39862
FDI50,OUT019,565.06446
FDS09,OUT035,898.8965800000002
NCC31,OUT027,4828.048699999999
FDQ07,OUT019,804.21982
FDC22,OUT017,2999.4289999999996
FDZ56,OUT046,2914.4729199999997
FDZ40,OUT019,232.6971
FDS46,OUT027,2956.6846400000004
DRD24,OUT045,1779.94972
FDV45,OUT017,3214.0163399999997
FDL26,OUT045,3807.0444
FDA56,OUT018,1876.95678
FDN27,OUT046,1788.6051200000002
FDM20,OUT049,5199.964580000001
FDO16,OUT017,1574.4838400000003
FDL03,OUT035,2650.08374
FDE58,OUT046,2283.694
